"","RS05272016SE_T2","TB05292018TC_T1","MM10082018TM_T1","MM01112019VJ_T1","MM04192019YF_T1","MM_0257_BM_03_NA","MM_1951_BM_04_NA","Takeda_Ctrl_15_P1","P1_HDPlasma_1017_1","TB12092016KL_T4","TB06182018RS_T1","MM10082018TM_T2","MM10132017WL_T3","MM02152019JN_T2","MM_0422_BM_02_NA","MM_0590_BM_03_NA","P1_HDPlasma_1017_2","TB3040_T3","TB04052017KK_T2","TB11012017JH_T3","MM08082018SM_T2","MM02152019JN_T1","MM05032018RK_T2","MM_0237_BM_03_NA","MM_0501_BM_04_NA","RS05272016SE_T1","TB08112017JC_T2","TB07262018HF_T1","MM12102018KD_T2","MM08022018JO_T2","MM12062018MK_T3","MM_1951_BM_03_NA","TB01092018VC_T2","TB7083_T1","TB11012017JH_T2","TB08022018JO_T1","MM12142018RH_T1","MM04052017KK_T3","MM01142019GB_T2","MM_0255_BM_03_NA","Takeda_Ctrl_2_P1","TB3040_T5","TB05032018RK_T1","TB08082018SM_T1","MM01042019CA_T1","MM12192018RH_T3","MM08052019TJ_T1","MM_0002_BM_04_NA","Takeda_Ctrl_5_P1","TB07052017VC_T1","TB05112018JD_T1","MM04172018DG_T2","MM12062018MK_T2","MM01042019CA_T2","MM05292018TC_T2","MM_0591_BM_02_NA","Takeda_Ctrl_8_P1","TB7077_T3","TB05232018SL_T1","MM10132017WL_T2","MM01142019GB_T1","MM04182019JJ_T1","MM05112018JD_T4","MM_0569_BM_02_NA","Takeda_Ctrl_12_P1","P2_HDPlasma_1017_1","P2_HDPlasma_1017_2","38Pre_TB06112018PS","38Post_MM_0370_BM_03","39Pre_MM_1330_BM_01","39Post_MM_1330_BM_02","41Pre_MM01152019WM","41Post_MM_0502_BM_02","42Pre_TB08282017SN","42Post_MM_0382_BM_03","43Pre_MM_5209_BM_01","43Post_MM_5209_BM_02","44Pre_MM_5278_BM_01","44Post_MM_5278_BM_02","45Pre_MM09282018MWM","45Post_MM_0418_BM_03","46Pre_MM06042018MH","46Post_MM_0327_BM_03","47Pre_TB05172017KR","47Post_MM05172017KR","48Pre_TB05212013MT","48Post_MM05212013MT","20Pre_MM08052019TJ","20Post_MM_0422 BM_02","11Pre_ TB08112017JC","11Post_ TB08112017JC","28On_RS12092016KL","22On_MM07262018HF","25On_MM06182018RS","31On_MM04182019JJ","38On_MM_0370_BM_02","Takeda_Ctrl_8_P2","Takeda_Ctrl_5_P2","Takeda_Ctrl_2_P2","Takeda_Ctrl_15_P2","Takeda_Ctrl_12_P2"
"TNFRSF4",8.20533,7.02134,6.21466,6.70927,6.39437,6.90455,6.73489,4.94793,6.11617,7.21054,6.52879,7.01881,7.50525,8.68355,5.98967,7.39488,6.24603,6.84082,6.61132,6.69433,6.01525,7.61907,6.43846,6.32729,6.63727,6.9478,7.50918,6.3661,6.40384,7.52998,6.93751,6.705,6.76311,6.50267,7.17592,7.71743,7.88449,6.82725,6.34435,7.33476,5.36286,7.25573,6.46015,6.79101,6.82831,8.30984,6.76026,6.02591,5.09587,6.17772,6.76659,6.42412,7.26804,7.3085,7.09591,7.73715,5.09344,6.86474,7.36345,7.22946,6.51871,7.07251,7.53328,6.7867,5.269,5.50719,5.43255,6.20251,5.77381,5.832,6.1638,5.76575,5.8995,5.49759,5.72901,5.63772,5.3229,6.52597,6.23435,4.71304,6.20623,6.58987,6.68928,5.30757,5.30252,6.15152,6.57244,5.79268,5.04753,6.46409,6.56862,6.02414,5.25929,5.73469,6.57097,5.7541,4.1992,4.23162,4.28101,4.11608,4.25555
"MIC.A.B",2.13793,6.1736,5.65945,4.87636,6.85459,5.47527,5.04498,3.93738,5.16043,6.0346,6.37859,6.09237,6.27281,6.80775,1.98868,6.13882,5.16304,6.11988,5.43039,4.72798,5.64321,6.02885,6.13864,6.68788,5.06781,1.82147,2.42488,6.97659,5.42312,6.43937,5.73923,5.39829,6.73091,6.18847,5.0236,7.19008,6.44906,5.59353,6.30042,6.05475,3.78174,6.31344,6.29255,7.19147,6.86074,5.97105,2.70295,5.1245,3.80737,6.68144,7.0045,6.71291,5.93933,6.38705,6.14161,6.5366,3.73366,6.90285,5.21078,6.37576,5.92536,6.40091,7.3518,5.07846,4.27102,4.66831,4.61525,5.71696,5.24084,3.59094,3.77196,5.93634,5.77567,5.54374,5.70393,4.99529,4.91925,6.64674,5.05328,5.68909,5.61031,5.87792,5.63009,6.55062,6.20564,5.41227,5.29937,1.68114,0.84725,1.00755,1.25333,5.50572,5.82645,5.2951,5.66066,5.46363,3.06402,2.99469,3.118,3.11147,3.19094
"CCL17",10.93691,10.44669,10.16467,12.00759,11.367,11.69096,9.5494,10.21695,11.44587,9.91918,9.4549,11.07224,11.29873,9.88127,9.31549,9.37012,11.54415,10.16684,10.74338,8.91893,9.30223,10.22752,10.54772,11.65625,12.04956,8.81235,10.61876,10.39039,11.44727,10.30153,11.1105,9.77291,11.80705,9.74325,10.53483,11.32012,9.05584,11.18333,12.22884,8.13212,8.97784,11.73527,12.18623,10.13274,12.51495,11.13753,9.6635,9.09716,8.75427,9.67548,10.14055,10.43997,12.09901,12.13397,11.17723,9.90929,8.70257,8.40351,11.13039,10.41621,10.95966,8.71268,9.87514,10.76132,10.29112,10.67427,10.57751,9.60817,9.11535,9.25877,11.59667,11.01134,10.16451,9.32691,8.90273,10.13193,8.603,9.05043,8.32177,9.27094,9.94563,7.78204,8.56896,8.91234,9.70272,7.74862,8.77382,8.59045,8.26198,9.42594,9.5541,8.06211,9.22569,6.32073,8.11399,9.13813,7.84057,7.78355,7.96359,9.33585,9.37801
"ANGPT2",7.12659,5.54601,5.87108,5.54246,5.54056,5.32895,5.66626,3.24824,6.23124,6.46726,5.8817,6.0113,6.023,6.19891,5.00004,7.42888,6.32749,6.89942,6.69728,6.33883,6.18544,5.41445,7.45031,5.67385,5.87457,6.76444,6.42343,5.78973,5.67408,6.30508,6.30127,6.0011,6.68793,6.26678,5.89763,6.20474,7.11528,6.51166,6.10175,7.10415,3.66485,7.15508,7.62568,6.755,6.77426,6.86234,5.57199,6.02407,3.5994,6.29634,5.51317,5.74996,6.07161,6.52986,5.59069,6.21137,3.58353,7.13176,6.23704,6.2733,5.36544,7.53165,6.08888,6.04939,3.35999,5.54829,5.55003,5.47856,4.15006,5.02895,4.96605,5.73906,5.42511,3.725,4.46224,4.85606,4.09304,5.87057,4.93292,4.03571,4.34239,6.0011,6.21836,4.86467,5.4097,5.33815,5.15665,4.38858,3.95483,5.10301,5.34439,4.93067,4.49861,4.67538,6.87057,4.39439,2.60542,2.66379,2.61486,2.28466,2.15914
"PTN",0.80043,0.4976,0.46535,0.57114,0.62321,0.02322,0.36119,0.97911,0.76165,0.44394,0.30448,0.48935,1.85078,1.11212,0.72077,0.27552,0.92729,0.91204,0.57141,0.18351,0.02158,0.85349,0.81635,0.76187,0.7071,0.37121,0.47671,1.16063,0.17814,0.6052,0.22151,0.95993,1.03573,0.56648,1.73249,0.97841,0.90194,0.85714,0.74787,-0.32173,0.59195,0.0562,0.97521,3.27517,0.70573,1.0242,-0.08829,0.91238,0.54436,-0.05693,0.97559,0.41792,0.88321,1.12869,0.77824,0.71085,0.51202,1.30594,0.72656,0.71833,0.54371,1.0218,0.51856,0.3982,0.77379,0.03879,-0.73769,-0.62079,-1.07188,0.91274,-1.00279,-0.1768,-0.89729,-1.28218,-1.27606,-1.17302,-1.82419,-0.59191,-0.67704,-2.37702,-1.6006,-1.59273,-0.65776,-1.84993,-2.83553,-1.41889,-1.48477,-1.52029,-1.37623,-1.40851,-2.29227,-1.61647,-0.99523,-1.75209,-1.1936,-0.85536,-1.65575,-1.39377,-0.70472,-0.91749,-0.72322
"CXCL12",0.68661,2.03375,1.74134,1.09793,1.86494,0.56418,1.0755,0.56138,1.05368,1.05924,2.22152,2.14948,0.97238,0.48887,1.032,1.92513,1.2623,1.27565,0.71456,1.29149,1.91141,0.79182,1.59643,0.79843,1.48424,1.40732,1.69889,2.31953,1.73062,1.30221,2.15817,1.27472,0.90817,1.77877,0.57976,1.53455,2.32754,0.54752,0.58633,0.68868,0.88745,1.61742,0.6752,1.72459,0.49024,2.44912,1.63575,1.41519,0.5685,1.9883,1.0766,1.57176,1.58951,0.52725,1.98152,1.64863,0.76158,1.09408,1.11235,1.50442,0.77179,1.57085,1.43418,1.00224,0.95934,0.57054,0.35989,-0.39162,0.21493,0.60107,0.36085,-0.15662,-0.84263,1.17913,0.75366,0.03629,0.07645,1.54273,0.98676,0.26238,-0.00198,-0.10856,0.91598,0.51891,0.42067,0.64558,0.02405,0.52377,-0.27904,1.38118,0.29623,0.64187,0.78476,0.45657,0.93025,0.36084,-0.28679,-0.22822,-0.09088,-0.00567,-0.02796
"IFN.gamma",9.57484,8.23755,6.96945,7.48589,6.15701,9.20806,5.46946,13.7873,8.2301,10.0541,5.70969,9.40444,6.83048,11.31419,6.79923,6.15499,8.29705,10.70115,6.49523,9.61042,7.5064,8.42262,7.3661,6.33798,9.26912,9.91097,8.40911,5.93272,7.45988,6.75928,7.15964,6.73157,8.21049,7.62756,10.04049,6.42177,8.32432,6.94393,4.27369,3.83131,13.23541,7.75219,6.38176,8.93307,7.74998,10.43223,7.90748,9.09807,14.04084,8.36772,8.72791,6.58081,7.43823,7.16069,6.35608,6.87329,11.63599,9.57448,6.08437,12.13152,6.58425,5.29609,10.59949,6.51092,15.86593,7.73923,7.67035,5.06892,5.14252,5.68016,5.88343,7.13159,4.38938,7.65917,7.84844,5.94504,6.05746,7.54943,9.56628,6.97815,7.70875,6.34706,5.88895,5.48142,5.38705,4.23385,5.79103,6.94107,5.66208,7.30641,7.2672,7.9037,5.33037,6.14918,5.77485,5.78245,10.72221,12.94961,12.20598,12.7916,14.94229
"LAMP3",7.57917,5.52991,5.7363,5.62584,5.06034,4.42047,4.69718,5.12158,4.70635,5.66037,5.56453,6.1436,5.29834,7.89581,5.87092,5.78942,4.64811,5.78831,5.34304,7.60118,5.0177,6.74179,4.64001,6.54625,6.63501,6.29905,6.81538,6.53373,4.05796,6.13815,6.40364,5.71405,7.05652,4.89368,4.78686,6.8896,5.97482,5.44112,6.42973,4.85505,3.42082,6.08019,5.99721,7.90938,6.69689,5.1046,8.07117,3.98506,3.1926,5.88127,4.70002,5.10677,6.82333,6.50637,5.27571,5.84803,3.34995,7.38713,6.15958,5.4897,6.05351,6.20958,6.57831,6.51901,5.43032,4.20323,4.08352,6.9991,3.28564,3.70184,3.2665,5.24539,4.7304,4.48593,4.74006,4.09062,3.80464,6.17601,5.41763,4.07706,4.86221,5.9742,4.77805,4.37914,4.96329,5.05212,5.12071,7.25912,4.91282,5.70728,5.90607,4.58052,3.48154,2.70795,5.83213,3.60825,2.28132,2.3724,2.41163,4.29955,4.42409
"CASP.8",10.64457,9.03171,9.09091,10.78448,9.71751,7.95444,9.09497,7.48848,6.36034,10.86403,7.70643,11.21517,8.90724,10.8773,10.95819,9.48584,6.31644,8.4253,8.80931,8.45014,8.89252,9.14164,8.36506,10.05317,10.79581,8.41649,9.24091,9.24779,8.51717,9.17467,8.43897,8.45738,10.7843,7.53151,10.40003,8.83956,6.74939,9.86208,9.71816,10.39936,7.84783,9.29326,9.55119,11.4687,9.9981,6.06207,10.79476,8.51199,7.5496,9.22545,10.59328,9.14332,8.70503,9.60712,9.30513,9.56385,7.63859,10.80434,9.5706,9.61779,11.15901,9.67013,9.09338,9.32708,7.50648,6.4499,6.40818,8.77459,9.91113,6.61307,8.13955,8.53771,9.33825,9.21365,9.60212,9.07143,9.55204,6.88871,6.66291,8.31618,8.52565,9.65939,8.51288,8.981,9.50764,10.22609,9.77233,10.40023,10.65997,7.84768,8.73333,7.47369,9.29252,10.16354,9.42709,10.4345,6.73484,6.56542,6.69178,6.62457,6.42977
"ICOSLG",6.87266,6.32132,8.14604,6.54384,6.10596,7.68048,5.98613,5.29425,6.34618,6.44709,5.75185,5.92084,6.1257,6.97306,7.59529,5.89243,6.32785,7.05382,5.85456,5.38855,5.9915,6.51606,5.98117,7.39152,6.70341,6.22442,6.57034,7.69989,7.20672,5.89043,6.2407,5.97946,6.53515,6.42974,6.30861,6.50473,5.92381,6.24264,5.99396,5.79893,5.65614,6.42023,6.30866,7.14945,6.4127,5.98645,7.04643,5.83414,5.49454,6.04184,6.0797,6.39848,6.20507,6.66174,6.2683,6.43575,5.43945,7.56457,6.62753,6.26621,6.48762,5.67332,8.19141,6.43503,5.42424,5.92708,5.83283,7.99243,5.27245,5.06937,5.08847,5.06586,6.53069,5.63995,5.1667,5.34955,5.12411,5.62913,5.50166,5.39025,5.28648,6.22676,5.79643,5.75567,5.72733,5.27835,5.32373,6.16217,6.68575,5.35693,5.65541,5.58963,6.598,4.90895,5.99956,6.29603,4.47837,4.57151,4.56807,4.29133,4.4376
"MMP12",8.7622,6.60168,7.56856,8.36516,6.71187,7.298,7.48955,5.22366,7.29417,6.76904,8.01496,7.28956,8.89934,8.58335,5.75838,8.22127,7.36176,9.62206,6.81582,6.9513,6.46683,8.57392,7.56538,6.21638,8.20668,8.32265,8.48505,6.68683,7.56036,7.39143,7.847,7.19814,6.5949,7.08017,7.8612,8.23549,7.89174,6.86221,5.27618,8.02593,4.50863,8.46146,7.39014,9.8066,8.86643,7.53034,6.42389,6.8208,4.27293,7.1825,7.58806,6.30186,6.81392,8.37634,6.14763,6.43081,4.19064,8.04349,7.47732,9.11786,5.49392,8.1107,7.71423,7.08973,5.4251,6.6148,6.53533,6.33626,5.89373,6.95442,7.47969,4.79793,4.9149,4.81271,5.89637,5.96845,4.98864,7.53255,6.22099,4.24695,5.61458,6.19688,6.66112,5.59054,4.47716,6.99049,7.32552,5.31034,4.49004,5.15302,7.35583,5.5905,5.06441,6.16088,6.46854,6.90691,3.14984,3.27038,3.21284,4.11948,4.24388
"CXCL13",8.00047,7.8113,8.06953,8.74606,9.06102,8.0794,8.48235,7.44633,7.89323,8.5452,7.67948,8.63398,8.43774,8.6024,9.2219,7.62608,8.16507,10.93066,7.63721,8.45787,7.17842,7.57556,7.92123,7.43456,7.79731,9.47324,8.40442,8.01861,7.95847,8.71836,8.57594,8.78681,7.85101,7.59526,8.01116,9.06997,8.69597,7.73508,9.84185,9.05859,9.88939,12.63786,8.13403,9.46042,8.75094,8.32088,8.36745,7.51927,6.25546,7.2727,8.58836,7.82018,7.83421,9.35818,7.79028,8.1722,6.06847,10.68935,7.95869,8.99423,7.76432,7.90872,8.68167,7.82767,10.45972,7.1369,7.20964,7.39602,5.74139,7.54385,7.05614,8.33513,7.80332,7.1383,7.44392,6.9765,6.16248,10.88452,6.68786,6.62957,7.09057,7.04602,7.12819,6.27956,5.72833,6.1925,6.94338,7.2685,8.04405,6.91241,7.39639,6.30928,5.96737,6.54661,6.63571,6.05983,4.93399,5.34668,8.43997,6.42497,9.44872
"PD.L2",4.65576,3.18317,5.32782,3.65193,3.22163,3.34616,3.07654,1.97787,2.94046,3.46596,3.17244,3.91597,3.55108,4.4455,4.80474,3.32007,3.11802,3.59899,3.34147,3.80808,2.26814,3.44976,2.9086,3.40917,3.52948,3.26029,3.45381,3.66886,3.29184,2.711,3.91084,3.33669,3.11227,3.29263,4.31409,3.23558,3.39964,3.43089,2.91753,2.97144,2.16409,3.75054,3.31108,3.91937,3.64203,2.91489,3.43084,3.1985,1.7512,2.8255,3.47334,3.12671,3.78199,3.67674,3.13795,3.14474,1.76552,4.19281,3.98083,3.61192,3.18524,3.35322,4.82483,4.10626,2.21168,2.5408,2.62311,4.0937,3.09309,2.37279,2.31513,2.95224,4.07097,2.7207,3.03224,2.11923,2.15704,3.30634,2.80938,2.21175,2.62918,4.02337,3.39859,2.71279,3.06719,3.00924,3.18369,2.68802,4.21278,2.22193,2.76016,2.27626,2.7255,2.8961,3.67058,3.30329,1.02906,1.22666,1.0574,0.80891,0.91898
"VEGFA",10.8105,9.63454,9.44502,9.31601,9.71498,8.89598,9.53499,8.78654,9.48001,9.82813,9.91724,9.91034,10.1397,11.46674,9.48363,9.99589,9.66484,10.79804,9.78283,9.91785,9.00526,10.22432,9.10566,9.78733,10.04775,10.14155,9.99699,11.42562,9.35699,10.72563,9.37895,10.24513,9.62278,9.24818,9.6944,10.37835,11.16104,10.06545,10.52823,10.87706,7.95552,11.04305,10.50118,12.61032,10.54835,10.6543,9.51119,9.50817,7.77363,9.07634,9.83958,9.16301,10.44619,9.91067,10.25208,9.75054,7.97293,10.70108,11.29943,10.2092,10.65284,9.9745,11.18504,11.08333,9.54491,8.75152,8.63927,9.39895,8.21182,8.66547,8.71487,9.0927,8.48437,8.03478,9.11786,9.35484,9.42794,10.16299,8.94561,8.54693,8.63497,9.87036,9.52053,8.62676,9.14547,9.19781,9.18314,8.43218,8.49361,8.47012,8.81553,8.42789,8.39574,8.19697,8.79219,9.0686,6.912,6.73237,6.7433,7.75934,8.40697
"IL4",0.4485,0.19423,0.57969,0.48739,1.31854,-0.02906,-0.29581,0.32131,0.90022,0.09894,-0.08013,1.24406,0.92766,0.62587,0.3759,0.24422,0.80335,0.0531,-0.26183,0.11295,-0.02311,0.27324,0.37089,1.17264,0.15472,-0.07311,0.11295,1.09109,1.15601,0.17742,0.11758,0.93801,0.90899,-0.05106,1.14342,0.99855,0.57334,0.32776,0.40208,-1.03547,0.71852,-0.55994,0.10888,1.95088,1.43499,0.09359,0.10293,0.8621,0.46033,-0.30563,0.8433,0.38078,0.80487,0.66953,0.14371,0.29247,0.31358,0.58985,0.16007,1.58206,0.43821,0.99951,0.17753,0.11962,1.76086,-0.02112,-0.39025,-0.89199,-0.08917,1.7615,1.90558,0.95325,0.95694,1.07146,-1.41205,-0.72987,-1.02733,1.0766,1.30574,-0.24261,-0.65165,-1.55523,-1.4535,-1.36523,-1.9887,-0.62163,-0.87929,NA,-0.74023,0.59724,-1.00302,-0.95667,-0.42735,-1.29753,-0.19378,-2.36485,-1.22246,-0.54852,-0.16851,-1.12755,0.13024
"LAG3",6.2418,4.89787,5.07831,4.98372,5.85473,5.30386,4.26064,4.79413,4.75878,4.93617,6.66484,5.76997,5.39798,7.42396,4.87194,4.93501,4.7794,8.10588,4.68789,3.98689,4.63836,6.49019,5.40973,4.98908,4.645,5.43124,6.66078,7.80076,5.36988,6.19967,5.86621,5.20235,5.72811,4.55533,5.24409,5.82693,6.89348,4.48048,5.39327,3.93802,4.35418,7.79661,6.31865,9.0786,5.19722,6.60308,7.73976,4.9856,4.19029,4.99855,4.05096,4.64546,5.67959,4.9167,4.28061,4.29826,3.90902,7.25627,4.88592,5.63023,4.4906,5.60513,6.93407,4.5131,4.83013,4.2411,4.19899,4.43449,3.20733,4.51941,3.64325,4.37243,4.93233,3.8277,4.39922,5.1981,3.12907,9.33507,4.87536,3.26916,4.20545,6.65861,5.15252,3.45631,2.88707,3.58697,4.21313,6.89143,4.14757,4.56372,5.77613,3.9315,3.61286,4.02238,4.36106,3.1827,2.97782,3.18922,2.9889,3.59865,3.48389
"IL12RB1",3.29681,1.59905,1.62244,2.57322,2.44436,1.97259,1.87092,1.06672,1.42166,2.80674,2.40433,2.34789,2.67966,3.60341,2.52079,1.76664,1.58719,3.70528,1.33788,2.38464,1.62912,2.69895,1.56181,1.65285,2.16331,2.72513,2.95262,1.93384,1.99705,2.45849,2.15087,1.98453,2.57599,2.31616,2.48493,2.79374,3.71938,1.70394,2.19182,3.57515,1.0838,3.70346,1.78188,6.53273,1.86401,3.65009,3.17163,1.93152,0.99841,1.87816,2.29103,1.74275,2.682,1.9062,1.37427,2.72734,0.69651,3.34694,2.30248,2.3858,1.78708,1.91002,2.7813,2.16212,1.67851,1.06099,0.90465,1.64338,1.14771,0.92474,0.62359,1.33842,1.32752,1.21005,1.17768,0.76932,0.71563,3.00845,1.86494,1.2949,1.78429,2.05279,1.77195,1.18233,1.08271,1.24277,1.68361,2.5604,1.58992,1.61432,2.22169,1.27587,0.59693,1.46921,0.97419,1.20336,0.0344,0.20167,0.15742,0.59945,0.37304
"IL13",0.52312,0.1184,0.83392,1.01546,1.6172,0.3852,0.1616,7.51107,1.10586,0.94831,0.52528,1.34883,3.9314,0.94869,0.33876,0.58971,1.32038,-0.52096,0.16795,1.37094,0.19794,1.45127,0.66717,2.49503,0.00459,0.72801,0.15925,0.42582,1.23377,0.4622,0.80215,0.39614,0.88873,0.81449,2.41041,0.90681,1.47118,0.62251,0.58465,0.02034,1.69295,0.43782,1.4164,0.69228,-0.08321,1.17055,0.98153,0.88008,-0.03699,0.59832,1.28544,0.52003,0.83096,0.83151,0.46983,1.20521,0.87506,1.14459,1.79973,4.12873,0.48718,0.92438,0.04168,1.07909,7.71157,0.631,-0.02862,-0.0291,0.21786,1.69678,1.61852,0.66439,0.56334,0.81885,-0.19446,-0.24952,-0.19161,0.81244,1.6863,-0.29808,-0.29561,0.12741,0.10691,-0.304,-0.36812,0.12009,-0.32249,-1.14136,0.03286,0.29613,0.26024,-0.73385,-0.0672,0.74878,0.24476,-0.60713,0.49901,0.02691,0.44064,6.12985,6.35919
"CCL20",6.90858,5.41676,6.43647,7.82229,5.64644,5.74169,6.53965,8.37784,6.68139,6.63069,7.11913,7.09965,6.5665,7.72747,6.67666,5.43255,6.75588,8.48603,6.25888,7.58708,6.32719,6.36768,5.53145,5.95895,7.21972,6.74838,9.71869,5.23018,6.27451,6.85696,6.75567,6.97229,6.597,6.45555,6.48642,5.87138,8.03158,6.29919,6.88292,6.51992,13.94275,7.89828,6.92104,7.18194,7.64559,7.79191,6.62069,5.83795,7.61531,6.60499,7.51936,5.44504,5.71898,7.03103,5.59845,6.25757,9.97481,8.49697,7.05983,6.64534,6.04446,6.90334,11.25041,8.4169,13.72045,6.01499,5.98187,6.55171,6.1162,5.52891,4.81409,5.0493,5.32978,4.79253,5.2298,6.16469,7.7386,7.9936,5.33081,10.088,6.721,5.65864,5.60591,4.14683,4.86476,6.45039,6.08525,5.60171,5.60061,6.68658,8.63247,5.44507,5.23673,6.08217,4.91447,9.61028,9.02827,6.85681,12.74224,7.70339,12.62245
"TNF",5.652,4.34441,3.29871,4.83942,5.14836,4.20158,4.31937,6.71467,3.70213,4.93761,4.63789,5.33879,5.16495,6.48465,3.65197,4.24977,3.93498,4.67026,4.09669,5.09941,4.4492,5.15867,6.72749,4.44221,4.50296,4.96867,5.23258,3.42532,4.21189,5.28323,5.21938,5.69376,4.55734,4.45936,3.52657,5.08777,5.81271,4.7154,3.99913,5.4723,13.44649,5.00799,6.79999,7.73517,4.25298,6.07496,5.09248,4.86668,6.77166,4.28894,4.14554,3.76744,5.98151,4.66482,4.39944,4.58356,5.62688,5.85307,4.32923,5.26694,3.22664,4.08786,5.47916,4.43041,12.83855,3.76023,3.92484,3.54129,3.66027,3.90075,4.00054,4.28254,3.37573,3.37672,4.27404,4.46309,3.93165,5.56789,4.77874,3.75926,5.26613,4.95033,5.51301,3.77892,4.23166,4.37792,4.89848,4.6801,3.28679,4.20515,4.93076,4.32614,2.96095,4.14633,3.54083,3.95398,5.33212,6.50497,12.77919,6.36638,12.18779
"KLRD1",8.05444,5.66497,6.62953,8.31328,6.17435,6.82541,6.84329,5.70146,5.71262,6.59221,6.41515,7.20241,5.81845,8.12569,6.63702,5.05788,5.93241,7.55058,6.68528,5.9909,6.00157,6.84319,6.90722,5.59074,7.82207,7.97129,7.15945,6.74093,6.52821,6.5161,5.63512,7.02977,7.465,6.40202,6.37499,7.45334,7.89136,6.28063,4.89381,6.02215,4.94649,8.5252,6.91916,6.76273,6.47481,7.83479,7.1701,6.76771,4.43518,7.00929,5.94909,6.60452,7.22104,6.40804,5.22698,6.5582,4.23724,8.11585,6.36096,5.65228,5.32674,6.16738,5.62871,5.64564,6.01262,5.13363,5.03752,5.9498,3.95493,4.28104,3.47361,6.42685,6.59166,4.80347,4.68975,5.17054,4.31722,5.88343,5.59059,5.76364,6.24687,5.88827,6.37874,5.83698,6.32561,4.22136,4.97903,6.20082,5.58209,5.73375,6.18035,5.6174,4.37913,5.18488,4.53041,4.11073,3.26763,3.24973,3.35879,4.68659,4.75627
"GZMB",8.64508,3.73255,2.4887,5.78757,6.06327,3.35632,4.93733,7.16731,6.15468,5.60697,3.53822,5.23538,4.13854,5.193,7.23514,3.00198,6.2634,4.53518,6.0096,3.20362,3.34579,4.66734,3.9959,4.49097,6.96482,4.25023,6.28615,5.00126,4.56337,2.81778,2.85558,5.50614,2.95747,3.62522,4.72111,5.42872,5.50129,4.18432,3.35166,4.42673,9.06206,4.58,5.49406,10.49923,6.62641,4.64198,6.52016,5.4635,6.95717,4.0713,5.10497,4.81737,7.30223,5.82679,3.4806,5.48019,4.64998,7.53065,4.77929,3.96153,6.85963,4.99372,3.31777,2.24655,10.86607,4.18943,4.13517,3.682,2.46384,1.40924,1.40069,3.57763,4.47121,5.93844,4.46739,5.53726,2.75649,3.44359,1.38843,2.50139,2.89833,4.03859,2.14657,3.10548,1.80055,1.22178,2.58669,4.87917,5.54322,3.60498,3.17696,1.53191,3.96888,1.61751,2.18927,1.60949,3.72985,6.10434,7.62278,6.62397,9.53485
"CD83",4.72018,3.02999,3.23524,4.15032,3.25855,2.97126,3.27306,2.55259,2.71125,3.62989,2.80519,4.63712,3.72461,5.05296,3.68336,3.45098,2.91507,3.12192,3.2749,2.82421,2.72375,3.81209,3.16311,3.43344,4.23626,3.08473,3.91846,2.79837,2.83394,3.16986,3.65957,3.56953,3.42495,3.04145,3.65768,3.8041,3.47854,3.30336,3.33206,3.18673,2.68226,4.10182,3.09264,3.47687,3.93896,3.41174,3.65619,2.74934,2.21308,3.31567,3.43026,2.92833,3.17073,3.97457,3.13554,4.2095,1.91534,3.13776,3.25472,3.52522,3.5442,2.91984,3.41185,3.32633,3.26276,2.16798,1.94877,2.42255,2.2433,1.9881,1.83641,2.08331,2.30201,2.03096,1.91836,2.51717,1.74082,2.98816,2.62581,2.39007,2.72055,3.13532,3.27601,2.21936,1.9494,2.73497,2.97255,2.47532,2.61095,2.67999,3.08551,2.28421,2.56522,1.96812,2.86111,1.99118,1.01763,1.09943,1.81068,1.44853,2.13803
"IL12",8.81871,6.58834,6.6256,6.90119,7.55458,7.33224,6.66851,5.43436,6.68371,7.60828,6.34968,7.39693,7.53606,9.0775,4.71811,6.48752,6.77534,6.44892,6.88168,7.26286,6.88096,8.55068,6.56911,6.24459,6.46191,7.59104,8.00757,6.80489,7.46881,8.70846,7.72434,7.60182,6.80233,6.91032,6.93407,8.33482,9.31766,6.83357,5.73721,4.30668,10.59473,6.641,6.79678,9.77484,7.40649,8.27387,7.81027,7.46795,5.30847,5.9526,6.99904,6.41982,6.49119,8.08405,6.20866,7.60265,5.55957,7.00264,5.47012,8.33537,7.77453,6.62254,9.12821,4.58317,10.22883,5.92875,6.00543,7.35953,4.0316,5.84932,5.12477,5.1093,5.31078,5.64494,5.22504,6.21452,3.99388,5.95407,5.39359,5.96929,6.53247,6.67134,6.97344,4.42526,3.70585,4.76333,5.70235,6.58362,3.80048,6.83146,6.93693,5.92806,4.57089,3.69765,5.49529,3.981,4.459,4.29705,9.24794,4.40293,9.07058
